Name	Homepage	Description	Version	Tool.Type	Topic	Citations	Documentation	Operating.System	Language	Accessibility	License	DOI	Title	Abstract
MALDIquant	https://cran.r-project.org/package=MALDIquant	MALDIquant is a complete analysis pipeline for matrix-assisted laser desorption/ionization-time-of-flight (MALDI-TOF) and other two-dimensional mass spectrometry data. In addition to commonly used plotting and processing methods it includes distinctive features, namely baseline subtraction methods such as morphological filters (TopHat) or the statistics-sensitive non-linear iterative peak-clipping algorithm (SNIP), peak alignment using warping functions, handling of replicated measurements as well as allowing spectra with different resolutions.		Library, Workflow	Proteomics experiment, Proteomics	476	https://cran.r-project.org/web/packages/MALDIquant/MALDIquant.pdf		R	Open access	GPL-3.0	10.1093/bioinformatics/bts447	Maldiquant: A versatile R package for the analysis of mass spectrometry data	MALDIquant is an R package providing a complete and modular analysis pipeline for quantitative analysis of mass spectrometry data. MALDIquant is specifically designed with application in clinical diagnostics in mind and implements sophisticated routines for importing raw data, preprocessing, non-linear peak alignment and calibration. It also handles technical replicates as well as spectra with unequal resolution. © The Author 2012. Published by Oxford University Press. All rights reserved.
apComplex	http://bioconductor.org/packages/release/bioc/html/apComplex.html	Functions to estimate a bipartite graph of protein complex membership using AP-MS data.	2.40.0	Command-line tool, Library	Proteins, Protein structure analysis, Structural biology, Proteomics experiment	66	http://bioconductor.org/packages/release/bioc/html/apComplex.html	Linux, Windows, Mac	R	None	GPL-3.0	10.1093/bioinformatics/bti567	Local modeling of global interactome networks	Motivation: Systems biology requires accurate models of protein complexes, including physical interactions that assemble and regulate these molecular machines. Yeast two-hybrid (Y2H) and affinity-purification/mass-spectrometry (AP-MS) technologies measure different protein-protein relationships, and issues of completeness, sensitivity and specificity fuel debate over which is best for high-throughput 'interactome' data collection. Static graphs currently used to model Y2H and AP-MS data neglect dynamic and spatial aspects of macromolecular complexes and pleiotropic protein function. Results: We apply the local modeling methodology proposed by Scholtens and Gentleman (2004) to two publicly available datasets and demonstrate its uses, interpretation and limitations. Specifically, we use this technology to address four major issues pertaining to protein-protein networks. (1) We motivate the need to move from static global interactome graphs to local protein complex models. (2) We formally show that accurate local interactome models require both Y2H and AP-MS data, even in idealized situations. (3) We briefly discuss experimental design issues and how bait selection affects interpretability of results. (4) We point to the implications of local modeling for systems biology including functional annotation, new complex prediction, pathway interactivity and coordination with gene-expression data. © The Author 2005. Published by Oxford University Press. All rights reserved.
ASAPRatio	http://tools.proteomecenter.org/ASAPRatio.php	Statistical analysis of protein ratios from ICAT, cICAT or SILAC experiments.		Command-line tool, Desktop application	Proteomics, Proteomics experiment, Statistics and probability	323	http://tools.proteomecenter.org/wiki/index.php?title=Software:ASAPRatio	Windows	C++	None	None	10.1021/ac034633i	Automated Statistical Analysis of Protein Abundance Ratios from Data Generated by Stable-Isotope Dilution and Tandem Mass Spectrometry	We describe an algorithm for the automated statistical analysis of protein abundance ratios (ASAPRatio) of proteins contained in two samples. Proteins are labeled with distinct stable-isotope tags and fragmented, and the tagged peptide fragments are separated by liquid chromatography (LC) and analyzed by electrospray ionization (ESI) tandem mass spectrometry (MS/MS). The algorithm utilizes the signals recorded for the different isotopic forms of peptides of identical sequence and numerical and statistical methods, such as Savitzky-Golay smoothing filters, statistics for weighted samples, and Dixon's test for outliers, to evaluate protein abundance ratios and their associated errors. The algorithm also provides a statistical assessment to distinguish proteins of significant abundance changes from a population of proteins of unchanged abundance. To evaluate its performance, two sets of LC-ESI-MS/MS data were analyzed by the ASAPRatio algorithm without human intervention, and the data were related to the expected and manually validated values. The utility of the ASAPRatio program was clearly demonstrated by its speed and the accuracy of the generated protein abundance ratios and by its capability to identify specific core components of the RNA polymerase II transcription complex within a high background of copurifying proteins.
AUTOHD	http://www.ms-utils.org/autohd.html	Analysis of H/D-exchange data using isotopic distributions.		Command-line tool	Proteomics, Proteomics experiment	62	http://www.ms-utils.org/autohd.html	Linux, Windows, Mac	C	None	GPL-3.0	10.1016/s1044-0305(01)00301-4	Automatic analysis of hydrogen/deuterium exchange mass spectra of peptides and proteins using calculations of isotopic distributions	High mass-resolving power has been shown to be useful for studying the conformational dynamics of proteins by hydrogen/deuterium (H/D) exchange. A computer algorithm was developed that automatically identifies peptides and their extent of deuterium incorporation from H/D exchange mass spectra of enzymatic digests or fragment ions produced by collisionally induced dissociation (CID) or electron capture dissociation (ECD). The computer algorithm compares measured and calculated isotopic distributions and uses a fast calculation of isotopic distributions using the fast Fourier transform (FFT). The algorithm facilitates rapid and automated analysis of H/D exchange mass spectra suitable for high-throughput approaches to the study of peptide and protein structures. The algorithm also makes the identification independent on comparisons with undeuterated control samples. The applicability of the algorithm was demonstrated on simulated isotopic distributions as well as on experimental data, such as Fourier transform ion cyclotron resonance (FTICR) mass spectra of myoglobin peptic digests, and CID and ECD spectra of substance P. Copyright © 2001 American Society for Mass Spectrometry.
CONAN	https://github.com/HITS-MBM/conan	Using molecular dynamics trajectories, analyzes inter-residue contacts, creates videos of time-resolved contact maps, and performs correlation, principal component, and cluster analysis, revealing how specific contacts relate to functionally relevant states sampled by molecular dynamics.		Command-line tool	Proteomics, Molecular dynamics	72	https://github.com/HITS-MBM/conan/blob/master/README.md	Linux, Windows, Mac	Python	None	GPL-3.0	10.1016/j.bpj.2018.01.033	CONAN: A Tool to Decode Dynamical Information from Molecular Interaction Maps	The analysis of contacts is a powerful tool to understand biomolecular function in a series of contexts, from the investigation of dynamical behavior at equilibrium to the study of nonequilibrium dynamics in which the system moves between multiple states. We thus propose a tool called CONtact ANalysis (CONAN) that, from molecular dynamics (MD) trajectories, analyzes interresidue contacts, creates videos of time-resolved contact maps, and performs correlation, principal component, and cluster analysis, revealing how specific contacts relate to functionally relevant states sampled by MD. We present how CONAN can identify features describing the dynamics of ubiquitin both at equilibrium and during mechanical unfolding. Additionally, we show the analysis of MD trajectories of an α-synuclein mutant peptide that undergoes an α-β conformational transition that can be easily monitored using CONAN, which identifies the multiple states that the peptide explores along its conformational dynamics. The high versatility and ease of use of the software make CONAN a tool that can significantly facilitate the understanding of the complex dynamical behavior of proteins or other biomolecules. CONAN and its documentation are freely available for download on GitHub.
DACSIM	https://pubs.acs.org/doi/abs/10.1021/ac0491206	De novo peptide sequencing based on a divide-and-conquer algorithm and peptide tandem spectrum simulation		Command-line tool	Proteomics	78				None	None	10.1021/ac0491206	De novo peptide sequencing based on a divide-and-conquer algorithm and peptide tandem spectrum simulation	Mass spectrometry-based de novo peptide sequencing is generally more reliable on high-resolution instruments owing to their high resolution and mass accuracy. On a lower resolution instrument such as the more widely used quadrupole ion traps, de novo peptide sequencing is not so reliable or requires more MS3 experiments. However, the peptide CID spectrum has been demonstrated to be quite reproducible on an ion trap instrument and can be predicted with good accuracy. A new de novo peptide sequencing technique, DACSIM, combining a divide-and-conquer algorithm for deriving sequence candidates and spectrum simulation for sequence refinement, is developed for spectra acquired on an ion trap instrument. When DACSIM was used to sequence peptides 500-1900 u in mass generated from proteolytic digests of hemoglobin and myoglobin, the success rate was 70% with a false positive rate of only 6%, when isoleucine and leucine residues were not distinguished.
DeconMSn	http://omics.pnl.gov/software/DeconMSn.php	Tool for accurate precursor ion monoisotopic mass determination for tandem mass spectra.		Command-line tool	Proteomics, Proteomics experiment	130	https://omics.pnl.gov/software/deconmsn	Linux, Windows, Mac	C++	None	None	10.1093/bioinformatics/btn063	DeconMSn: A software tool for accurate parent ion monoisotopic mass determination for tandem mass spectra	Summary: DeconMSn accurately determines the monoisotopic mass and charge state of parent ions from high-resolution tandem mass spectrometry data, offering significant improvement for LTQ_FT and LTQ_Orbitrap instruments over the commercially delivered Thermo Fisher Scientific's extract_msn tool. Optimal parent ion mass tolerance values can be determined using accurate mass information, thus improving peptide identifications for high-mass measurement accuracy experiments. For low-resolution data from LCQ and LTQ instruments, DeconMSn incorporates a support-vector-machine-based charge detection algorithm that identifies the most likely charge of a parent species through peak characteristics of its fragmentation pattern. © The Author 2008. Published by Oxford University Press. All rights reserved.
DeconTools	http://omics.pnl.gov/software/DeconTools.php	Advanced peak picking of MS and LC-MS(/MS) data using THRASH and other algorithms.		Command-line tool, Desktop application	Proteomics, Proteomics experiment	504, 184	https://omics.pnl.gov/software/decontools-decon2ls	Linux, Windows, Mac	C#	None	None	10.1016/s1044-0305(99)00157-9	Automated reduction and interpretation of high resolution electrospray mass spectra of large molecules	Here a fully automated computer algorithm is applied to complex mass spectra of peptides and proteins. This method uses a subtractive peak finding routine to locate possible isotopic clusters in the spectrum, subjecting these to a combination of the previous Fourier transform/Patterson method for primary charge determination and the method for least-squares fitting to a theoretically derived isotopic abundance distribution for m/z determination of the most abundant isotopic peak, and the statistical reliability of this determination. If a predicted protein sequence is available, each such m/z value is checked for assignment as a sequence fragment. A new signal-to-noise calculation procedure has been devised for accurate determination of baseline and noise width for spectra with high peak density. In 2 h, the program identified 824 isotopic clusters representing 581 mass values in the spectrum of a GluC digest of a 191 kDa protein; this is >50% more than the number of mass values found by the extremely tedious operator-applied methodology used previously. The program should be generally applicable to classes of large molecules, including DNA and polymers. Thorough high resolution analysis of spectra by Horn (THRASH) is proposed as the program's verb. Copyright © 2000 American Society for Mass Spectrometry., 10.1186/1471-2105-10-87, Decon2LS: An open-source software package for automated processing and visualization of high resolution mass spectrometry data, Background: Data generated from liquid chromatography coupled to high-resolution mass spectrometry (LC-MS)-based studies of a biological sample can contain large amounts of biologically significant information in the form of proteins, peptides, and metabolites. Interpreting this data involves inferring the masses and abundances of biomolecules injected into the instrument. Because of the inherent complexity of mass spectral patterns produced by these biomolecules, the analysis is significantly enhanced by using visualization capabilities to inspect and confirm results. In this paper we describe Decon2LS, an open-source software package for automated processing and visualization of high-resolution MS data. Drawing extensively on algorithms developed over the last ten years for ICR2LS, Decon2LS packages the algorithms as a rich set of modular, reusable processing classes for performing diverse functions such as reading raw data, routine peak finding, theoretical isotope distribution modelling, and deisotoping. Because the source code is openly available, these functionalities can now be used to build derivative applications in relatively fast manner. In addition, Decon2LS provides an extensive set of visualization tools, such as high performance chart controls. Results: With a variety of options that include peak processing, deisotoping, isotope composition, etc, Decon2LS supports processing of multiple raw data formats. Deisotoping can be performed on an individual scan, an individual dataset, or on multiple datasets using batch processing. Other processing options include creating a two dimensional view of mass and liquid chromatography (LC) elution time features, generating spectrum files for tandem MS data, creating total intensity chromatograms, and visualizing theoretical peptide profiles. Application of Decon2LS to deisotope different datasets obtained across different instruments yielded a high number of features that can be used to identify and quantify peptides in the biological sample. Conclusion: Decon2LS is an efficient software package for discovering and visualizing features in proteomics studies that require automated interpretation of mass spectra. Besides being easy to use, fast, and reliable, Decon2LS is also open-source, which allows developers in the proteomics and bioinformatics communities to reuse and refine the algorithms to meet individual needs. © 2009 Jaitly et al; licensee BioMed Central Ltd.
decoy.pl	http://www.matrixscience.com/help/decoy_help.html	Decoy database generator from Matrix Science.		Command-line tool	Proteomics, Proteomics experiment	620	http://www.matrixscience.com/help/decoy_help.html#MANUAL	Linux, Mac	Perl	None	None	10.1038/nmeth785	Comparative evaluation of mass spectrometry platforms used in large-scale proteomics investigations	Researchers have several options when designing proteomics experiments. Primary among these are choices of experimental method, instrumentation and spectral interpretation software. To evaluate these choices on a proteome scale, we compared triplicate measurements of the yeast proteome by liquid chromatography tandem mass spectrometry (LC-MS/MS) using linear ion trap (LTQ) and hybrid quadrupole time-of-flight (QqTOF; QSTAR) mass spectrometers. Acquired MS/MS spectra were interpreted with Mascot and SEQUEST algorithms with and without the requirement that all returned peptides be tryptic. Using a composite target decoy database strategy, we selected scoring criteria yielding 1% estimated false positive identifications at maximum sensitivity for all data sets, allowing reasonable comparisons between them. These comparisons indicate that Mascot and SEQUEST yield similar results for LTQ-acquired spectra but less so for QSTAR spectra. Furthermore, low reproducibility between replicate data acquisitions made on one or both instrument platforms can be exploited to increase sensitivity and confidence in large-scale protein identifications.
Denovogui	http://compomics.github.io/projects/denovogui.html	Graphical user interface for de novo sequencing of tandem mass spectra.	1.9.6	Command-line tool, Desktop application	Proteomics, Proteins, Proteomics experiment	67	http://compomics.github.io/projects/denovogui.html	Linux, Windows, Mac	Java	None	Apache-2.0	10.1021/pr4008078	DeNovoGUI: An open source graphical user interface for de novo sequencing of tandem mass spectra	De novo sequencing is a popular technique in proteomics for identifying peptides from tandem mass spectra without having to rely on a protein sequence database. Despite the strong potential of de novo sequencing algorithms, their adoption threshold remains quite high. We here present a user-friendly and lightweight graphical user interface called DeNovoGUI for running parallelized versions of the freely available de novo sequencing software PepNovo+, greatly simplifying the use of de novo sequencing in proteomics. Our platform-independent software is freely available under the permissible Apache2 open source license. Source code, binaries, and additional documentation are available at http://denovogui.googlecode.com. © 2013 American Chemical Society.
