Name	Preservation_of_data_and_software	Version_control	Licensing_and_legal	Community_engagement	Workflow_management_systems	Standardized_input_and_output_formats	Assessment_against_benchmarks	Containerization	Documentation	Scalability_and_parallelization	Rating
apComplex	Not archived or hosted in unreliable locations.	Comprehensive version control with regular updates, clear changelogs, and active maintenance.	Fully open-source and the code is available	Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum).	No evidence of community engagement or support.	Input/output formats are unknown or non-standard.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Sufficient documentation but lacks a manual or comprehensive logging/reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
AUTOHD	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
CODA	Archived data or tool in a trusted repository.	Minimal or inconsistent version control, tool still functional but not actively maintained.	Fully open-source with a permissive license (e.g., MIT, Apache), code publicly available.	Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum).	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
CPM	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
HDXfit	Not archived or hosted in unreliable locations.	Minimal or inconsistent version control, tool still functional but not actively maintained.	Open source but with restrictions (e.g., limited commercial use or missing code access).	Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum).	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
Isotope calculator	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
MSPLIT	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
muxQuant	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
OBI-Warp	Archived data or tool in a trusted repository.	Minimal or inconsistent version control, tool still functional but not actively maintained.	Open source but with restrictions (e.g., limited commercial use or missing code access).	Minimal engagement, limited to one platform (e.g., GitHub issues or a single forum).	Cannot integrate into workflow management systems.	Input/output formats are unknown or non-standard.	No benchmarking or testing reported.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
PTMProphet	Not archived or hosted in unreliable locations.	No version control, tool is deprecated or unreliable.	Open source but with restrictions (e.g., limited commercial use or missing code access).	No evidence of community engagement or support.	Cannot integrate into workflow management systems.	Formats are non-standard but can be converted with effort.	Tested only at the time of initial tool publication.	Not containerized or dependency management is manual.	Lacks a manual; minimal or unclear documentation, logging, or reporting.	The tool has unknown or no built-in scalability or parallelization capabilities. It struggles to handle large datasets efficiently and cannot leverage cloud or HPC resources.	1
